No.;Location;lat;lng;Land Area;Price/SQM;Street Width;Purpose of Land
1;Al Arid District (N.);24.866441;46.606211;936;5500;30m;Commercial & Residential
2;Al Qirawan (N.);24.824431;46.598671;1800;7600;30m E, 30m S, 15m N;Commercial & Residential
3;Al-Narjis District (N.);24.85691;46.663875;4510;6300;36m;Commercial & Residential
4;Al-Arid District (N.);24.875153;46.609657;924;5000;30m;Commercial & Residential
5;Al Narjis District (N.);24.871986;46.655742;900;5500;30m;Commercial & Residential
6;Al Nakhil Distric (N.);24.751225;46.646051;4350;8050;36m;Commercial & Residential
7;Al  Qirawan (N.);24.870156;46.650587;1050;6500;30m;Commercial & Residential
8;Al-Malqa District (N.);24.80996;46.601762;900;8000;36m;Residential
9;Al Arid District (N.);24.871534;46.616147;2160;6000;60m E, 20m S, 15m W;Commercial & Residential
10;Al Narjis District (N.);24.870156;46.650587;1050;5300;36m;Commercial & Residential
